Longitude(deg)	Lattitude(deg)	Alttitude(km)
103.256	62.4823	91.1173
103.256	62.491	91.2841
103.256	62.4997	91.4512
103.256	62.5085	91.6183
103.256	62.5172	91.7856
103.256	62.5259	91.9531
103.256	62.5347	92.1207
103.256	62.5434	92.2885
103.256	62.5521	92.4564
103.256	62.5608	92.6245
103.256	62.5696	92.7927
103.256	62.5783	92.9611
103.256	62.587	93.1296
103.256	62.5958	93.2982
103.256	62.6045	93.467
103.256	62.6132	93.636
103.256	62.6219	93.8051
103.256	62.6307	93.9744
103.256	62.6394	94.1438
103.256	62.6481	94.3134
103.256	62.6568	94.4831
103.256	62.6656	94.653
103.256	62.6743	94.823
103.256	62.683	94.9932
103.256	62.6917	95.1635
103.256	62.7004	95.3339
103.256	62.7092	95.5046
103.256	62.7179	95.6753
103.256	62.7266	95.8462
103.256	62.7353	96.0173
103.256	62.744	96.1885
103.256	62.7528	96.3599
103.256	62.7615	96.5314
103.256	62.7702	96.7031
103.256	62.7789	96.8749
103.256	62.7876	97.0469
103.256	62.7964	97.219
103.256	62.8051	97.3912
103.256	62.8138	97.5637
103.256	62.8225	97.7362
103.256	62.8312	97.9089
103.256	62.8399	98.0818
103.256	62.8486	98.2548
103.256	62.8574	98.428
103.256	62.8661	98.6013
103.256	62.8748	98.7748
103.256	62.8835	98.9484
103.256	62.8922	99.1221
103.256	62.9009	99.2961
103.256	62.9096	99.4701
103.256	62.9183	99.6443
103.256	62.927	99.8187
103.256	62.9357	99.9932
103.256	62.9445	100.168
103.256	62.9532	100.343
103.256	62.9619	100.518
103.256	62.9706	100.693
103.256	62.9793	100.868
103.256	62.988	101.043
103.256	62.9967	101.219
103.256	63.0054	101.395
103.256	63.0141	101.571
103.256	63.0228	101.747
103.256	63.0315	101.923
103.256	63.0402	102.099
103.256	63.0489	102.275
103.256	63.0576	102.452
103.256	63.0663	102.629
103.256	63.075	102.806
103.256	63.0837	102.983
103.256	63.0924	103.16
103.256	63.1011	103.337
103.256	62.1804	94.6965
103.256	62.1892	94.8668
103.256	62.1979	95.0372
103.256	62.2066	95.2078
103.256	62.2153	95.3785
103.256	62.224	95.5494
103.256	62.2328	95.7204
103.256	62.2415	95.8916
103.256	62.2502	96.0629
103.256	62.2589	96.2344
103.256	62.2676	96.406
103.256	62.2764	96.5778
103.256	62.2851	96.7497
103.256	62.2938	96.9218
103.256	62.3025	97.094
103.256	62.3112	97.2664
103.256	62.3199	97.4389
103.256	62.3286	97.6116
103.256	62.3374	97.7844
103.256	62.3461	97.9573
103.256	62.3548	98.1305
103.256	62.3635	98.3037
103.256	62.3722	98.4772
103.256	62.3809	98.6507
103.256	62.3896	98.8245
103.256	62.3984	98.9983
103.256	62.4071	99.1723
103.256	62.4158	99.3465
103.256	62.4245	99.5208
103.256	62.4332	99.6953
103.256	62.4419	99.8699
103.256	62.4506	100.045
103.256	62.4593	100.22
103.256	62.468	100.395
103.256	62.4767	100.57
103.256	62.4854	100.745
103.256	62.4941	100.921
103.256	62.5029	101.096
103.256	62.5116	101.272
103.256	62.5203	101.448
103.256	62.529	101.624
103.256	62.5377	101.801
103.256	62.5464	101.977
103.256	62.5551	102.154
103.256	62.5638	102.33
103.256	62.5725	102.507
103.256	62.5812	102.684
103.256	62.5899	102.861
103.256	62.5986	103.039
103.256	62.6073	103.216
103.256	62.616	103.394
103.256	62.6247	103.571
103.256	62.6334	103.749
103.256	62.6421	103.927
103.256	62.6508	104.106
103.256	62.6595	104.284
103.256	62.6682	104.462
103.256	62.6769	104.641
103.256	62.6856	104.82
103.256	62.6943	104.999
103.256	62.7029	105.178
103.256	62.7116	105.357
103.256	62.7203	105.537
103.256	62.729	105.716
103.256	62.7377	105.896
103.256	62.7464	106.076
103.256	62.7551	106.256
103.256	62.7638	106.436
103.256	62.7725	106.616
103.256	62.7812	106.797
103.256	62.7899	106.977
103.256	62.7986	107.158
103.256	61.8791	97.874
