Longitude(deg)	Lattitude(deg)	Alttitude(km)
103.256	52.8811	0.5
103.241	52.8803	0.500078
103.226	52.8795	0.500314
103.212	52.8787	0.500705
103.197	52.878	0.501254
103.182	52.8772	0.50196
103.167	52.8764	0.502822
103.152	52.8756	0.503841
103.137	52.8748	0.505017
103.123	52.874	0.506349
103.108	52.8732	0.507839
103.093	52.8724	0.509485
103.256	52.8811	0.5
103.241	52.8805	0.500078
103.226	52.8798	0.500314
103.211	52.8792	0.500705
103.197	52.8786	0.501254
103.182	52.8779	0.50196
103.167	52.8773	0.502822
103.152	52.8767	0.503841
103.137	52.876	0.505017
103.122	52.8754	0.506349
103.108	52.8747	0.507839
103.093	52.8741	0.509485
103.078	52.8734	0.511288
103.063	52.8728	0.513247
103.048	52.8721	0.515364
103.033	52.8715	0.517637
103.018	52.8708	0.520067
103.004	52.8702	0.522654
102.989	52.8695	0.525397
102.974	52.8689	0.528298
102.959	52.8682	0.531355
102.944	52.8675	0.534568
102.929	52.8669	0.537939
102.915	52.8662	0.541466
102.9	52.8655	0.545151
102.885	52.8649	0.548991
102.87	52.8642	0.552989
102.855	52.8635	0.557144
102.84	52.8628	0.561455
102.826	52.8622	0.565923
102.811	52.8615	0.570548
102.796	52.8608	0.575329
103.256	52.8811	0.5
103.241	52.8806	0.500078
103.226	52.8802	0.500314
103.211	52.8797	0.500705
103.197	52.8792	0.501254
103.182	52.8787	0.50196
103.167	52.8782	0.502822
103.152	52.8778	0.503841
103.137	52.8773	0.505017
103.122	52.8768	0.506349
103.107	52.8763	0.507839
103.093	52.8758	0.509485
103.078	52.8753	0.511288
103.063	52.8748	0.513247
103.048	52.8743	0.515364
103.033	52.8738	0.517637
103.018	52.8733	0.520067
103.003	52.8728	0.522654
102.988	52.8723	0.525397
102.974	52.8718	0.528298
102.959	52.8713	0.531355
102.944	52.8708	0.534568
102.929	52.8703	0.537939
102.914	52.8698	0.541466
102.899	52.8693	0.545151
102.884	52.8688	0.548991
102.87	52.8683	0.552989
102.855	52.8677	0.557144
102.84	52.8672	0.561455
102.825	52.8667	0.565923
102.81	52.8662	0.570548
102.795	52.8656	0.575329
102.781	52.8651	0.580267
102.766	52.8646	0.585362
102.751	52.864	0.590614
102.736	52.8635	0.596023
102.721	52.863	0.601588
102.706	52.8624	0.60731
102.691	52.8619	0.613189
102.677	52.8614	0.619225
102.662	52.8608	0.625417
102.647	52.8603	0.631767
102.632	52.8597	0.638273
102.617	52.8592	0.644935
102.602	52.8586	0.651755
102.587	52.8581	0.658731
102.573	52.8575	0.665864
102.558	52.857	0.673154
102.543	52.8564	0.6806
102.528	52.8558	0.688204
102.513	52.8553	0.695964
102.498	52.8547	0.70388
103.256	52.8811	0.5
103.241	52.8806	0.508805
103.226	52.8802	0.517767
103.211	52.8797	0.526885
103.197	52.8792	0.53616
103.182	52.8787	0.545592
103.167	52.8782	0.555181
103.152	52.8778	0.564926
103.137	52.8773	0.574829
103.122	52.8768	0.584888
103.107	52.8763	0.595103
103.093	52.8758	0.605476
103.078	52.8753	0.616005
103.063	52.8748	0.626691
103.048	52.8743	0.637534
103.033	52.8738	0.648533
103.018	52.8733	0.65969
103.003	52.8728	0.671003
102.989	52.8723	0.682472
103.211	52.8802	0.500705
103.196	52.8798	0.501254
103.182	52.8795	0.50196
103.167	52.8792	0.502822
103.152	52.8789	0.503841
103.137	52.8785	0.505017
103.122	52.8782	0.506349
103.107	52.8779	0.507839
103.092	52.8775	0.509485
103.078	52.8772	0.511288
103.063	52.8769	0.513247
103.048	52.8765	0.515364
103.033	52.8762	0.517637
103.018	52.8758	0.520067
103.003	52.8755	0.522654
102.988	52.8752	0.525397
102.973	52.8748	0.528298
102.959	52.8745	0.531355
102.944	52.8741	0.534568
102.929	52.8738	0.537939
102.914	52.8734	0.541466
102.899	52.873	0.545151
102.884	52.8727	0.548991
102.869	52.8723	0.552989
102.854	52.872	0.557144
102.84	52.8716	0.561455
102.825	52.8712	0.565923
102.81	52.8709	0.570548
102.795	52.8705	0.575329
102.78	52.8701	0.580267
102.765	52.8697	0.585362
102.75	52.8694	0.590614
102.736	52.869	0.596023
102.721	52.8686	0.601588
102.706	52.8682	0.60731
102.691	52.8678	0.613189
102.676	52.8675	0.619225
102.661	52.8671	0.625417
102.646	52.8667	0.631767
102.631	52.8663	0.638273
102.617	52.8659	0.644935
102.602	52.8655	0.651755
102.587	52.8651	0.658731
102.572	52.8647	0.665864
102.557	52.8643	0.673154
102.542	52.8639	0.6806
102.527	52.8635	0.688204
102.513	52.8631	0.695964
102.498	52.8627	0.70388
102.483	52.8623	0.711954
102.468	52.8619	0.720184
102.453	52.8615	0.728571
102.438	52.861	0.737115
102.423	52.8606	0.745816
102.409	52.8602	0.754673
102.394	52.8598	0.763687
102.379	52.8594	0.772858
102.364	52.8589	0.782186
102.349	52.8585	0.79167
102.334	52.8581	0.801311
102.319	52.8577	0.811109
102.304	52.8572	0.821064
102.29	52.8568	0.831175
102.275	52.8564	0.841443
102.26	52.8559	0.851868
102.245	52.8555	0.86245
102.23	52.855	0.873188
102.215	52.8546	0.884083
103.256	52.8811	0.5
103.241	52.8808	0.508805
103.226	52.8805	0.517767
103.211	52.8802	0.526885
103.197	52.8798	0.53616
103.182	52.8795	0.545592
103.167	52.8792	0.555181
103.152	52.8789	0.564926
103.137	52.8785	0.574829
103.122	52.8782	0.584888
103.107	52.8779	0.595103
103.092	52.8775	0.605476
103.078	52.8772	0.616005
103.063	52.8769	0.626691
103.048	52.8765	0.637534
103.033	52.8762	0.648533
103.018	52.8758	0.65969
103.003	52.8755	0.671003
102.988	52.8752	0.682472
102.973	52.8748	0.694099
102.959	52.8745	0.705882
102.944	52.8741	0.717822
102.929	52.8738	0.729919
102.914	52.8734	0.742172
102.899	52.873	0.754582
102.884	52.8727	0.767149
102.869	52.8723	0.779873
102.854	52.872	0.792754
102.84	52.8716	0.805791
102.825	52.8712	0.818985
102.81	52.8709	0.832335
102.795	52.8705	0.845843
102.78	52.8701	0.859507
102.765	52.8697	0.873328
102.75	52.8694	0.887305
102.736	52.869	0.90144
102.721	52.8686	0.915731
102.706	52.8682	0.930179
102.691	52.8678	0.944783
103.256	52.8811	0.5
103.241	52.8808	0.517531
103.226	52.8805	0.535218
103.211	52.8802	0.553062
103.197	52.8798	0.571063
103.182	52.8795	0.589221
102.914	52.877	0.541466
102.899	52.8768	0.545151
102.884	52.8766	0.548991
102.869	52.8764	0.552989
102.854	52.8762	0.557144
102.839	52.876	0.561455
102.824	52.8758	0.565923
102.81	52.8756	0.570548
102.795	52.8753	0.575329
102.78	52.8751	0.580267
102.765	52.8749	0.585362
102.75	52.8747	0.590614
102.735	52.8745	0.596023
102.72	52.8743	0.601588
102.705	52.874	0.60731
102.691	52.8738	0.613189
102.676	52.8736	0.619225
102.661	52.8733	0.625417
102.646	52.8731	0.631767
